universidad,estado_fuente,url_altillo,url_oficial,pagina_fuente
(El Lago),Bajacalifornia,https://www.altillo.com/universidades/mexico/de/bajacalifornia/Centro_de_Estudios_Superiores_del_Noroeste.asp,,https://www.altillo.com/universidades/mexico/de/bajacalifornia.asp
(UPV),Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Universidad_Pedagogica_Veracruzana_UPV.asp,http://www.sev.gob.mx/upv/,https://www.altillo.com/universidades/mexico/de/veracruz.asp
Academia de Animación y Arte Secuencial,Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Academia_de_Animacion_y_Arte_Secuencial.asp,,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Academia de Arte y Diseno (AADAC),Coahuila,https://www.altillo.com/universidades/mexico/de/coahuila/Academia_de_Arte_y_Diseno_AADAC.asp,http://www.aadac.com.mx,https://www.altillo.com/universidades/mexico/de/coahuila.asp
Academia de Música Fermatta,Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Academia_de_Musica_Fermatta.asp,http://www.fermatta.edu.mx/,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Academia de Música Fermatta,Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Academia_de_Musica_Fermatta.asp,http://www.fermatta.edu.mx,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Acai para la Formación y El Desarrollo,Morelos,https://www.altillo.com/universidades/mexico/de/morelos/Acai_para_la_Formacion_y_el_desarrollo.asp,http://www.acai.edu.mx,https://www.altillo.com/universidades/mexico/de/morelos.asp
Anaxagoras,Veracruz,https://www.altillo.com/universidades/mexico/de/veracruz/Anaxagoras.asp,,https://www.altillo.com/universidades/mexico/de/veracruz.asp
Angelópolis Centro Universitario del Valle de Atlixco (CUVA),Puebla,https://www.altillo.com/universidades/mexico/de/puebla/Angelopolis_Centro_Universitario_del_Valle_de_Atlixco_CUVA.asp,http://www.angelopoliscuva.com,https://www.altillo.com/universidades/mexico/de/puebla.asp
Angloamericano Centro Universitario,Quintanaroo,https://www.altillo.com/universidades/mexico/de/quintanaroo/Angloamericano_Centro_Universitario.asp,,https://www.altillo.com/universidades/mexico/de/quintanaroo.asp
Angloamericano Grupo Educativo,Michoacan,https://www.altillo.com/universidades/mexico/de/estadodemexico/Angloamericano_Grupo_Educativo.asp,https://sic.cultura.gob.mx/ficha.php?table=universidad&table_id=2786,https://www.altillo.com/universidades/mexico/de/michoacan.asp
Arte A.C. Instituto de Estudios Superiores de Diseño,Nuevoleon,https://www.altillo.com/universidades/mexico/de/nuevoleon/Arte_A_C_Instituto_de_Estudios_Superiores_de_Diseno.asp,,https://www.altillo.com/universidades/mexico/de/nuevoleon.asp
